dataset,method,encoders,imbalance_ratio,imbalance_seed,stress_test,ACC_mean,ACC_std,NMI_mean,NMI_std,ARI_mean,ARI_std,MacroF1_mean,MacroF1_std,BalancedACC_mean,BalancedACC_std,RareRecall_mean,RareRecall_std,WorstRecall_mean,WorstRecall_std,HeadRecall_mean,HeadRecall_std,MediumRecall_mean,MediumRecall_std,TailRecall_mean,TailRecall_std,ActiveClusters_mean,ActiveClusters_std,CollapseFlag_mean,CollapseFlag_std
pathmnist,KMeans (same features),dinov2_vitb14+biomedclip,,,clean,0.8464902506963788,0.0017888127418386785,0.8738243495043744,0.00034906587899678407,0.8372435487142017,0.0005067335881983623,0.7921460196036356,0.0014558067928714569,0.8050812020563459,0.0017685026488848635,0.9858407079646018,0.0011799410029498247,0.0,0.0,0.9348121677798499,0.0005406866720734982,0.8207367879865728,0.005306889517839454,0.659694650402615,0.0003933136676499416,9.0,0.0,0.0,0.0
pathmnist,MiniBatchKMeans (same features),dinov2_vitb14+biomedclip,,,clean,0.7719777158774374,0.030477076582046354,0.8147706609637163,0.01764863902243459,0.7369275667903592,0.04667701305471413,0.6623370157847399,0.028894296753567784,0.6902026402144645,0.03205442103913481,0.07551622418879056,0.15103244837758115,0.0,0.0,0.829400981047451,0.03709853852755102,0.88595713273992,0.029510437881107535,0.35524980685602264,0.05128576990326091,8.8,0.39999999999999997,0.2,0.4000000000000001
pathmnist,Gaussian mixture--diag (same features),dinov2_vitb14+biomedclip,,,clean,0.8030640668523678,0.04159251036608363,0.8380821342856949,0.023622403823061775,0.7804939478367514,0.037028858314537574,0.7564540772303759,0.05300522057507255,0.770968729397737,0.043950417821558604,0.8719764011799411,0.1498525073746313,0.0171021377672209,0.024148722141831513,0.8146479461944551,0.07202565552290302,0.8980699001875403,0.0760556642990948,0.6001883418112162,0.050978955665568856,9.0,0.0,0.0,0.0
pathmnist,Spectral clustering--kNN (same features),dinov2_vitb14+biomedclip,,,clean,0.8121169916434541,0.0,0.9020810770511087,1.4043333874306804e-16,0.8115297990659558,0.0,0.6829394448808093,0.0,0.7202991894865536,0.0,0.49852507374631266,0.0,0.0,0.0,0.9947225438775561,1.1102230246251565e-16,0.6666666666666666,0.0,0.4995083579154375,5.551115123125783e-17,8.0,0.0,1.0,0.0
pathmnist,SCAN-FS (adapted),dinov2_vitb14+biomedclip,,,clean,0.7968523676880224,0.017581567221464218,0.8626866182919619,0.018979642122202767,0.7828677509283197,0.03845101718869437,0.7433121757211074,0.026865212021370162,0.7679989587580414,0.02977877598479364,0.7622418879056047,0.231164566403961,0.0,0.0,0.7955160461077437,0.03282358764870222,0.9363821828464939,0.045931121848934095,0.5720986473198864,0.06791231563698777,9.0,0.0,0.0,0.0
pathmnist,P2OT-FS (adapted),dinov2_vitb14+biomedclip,,,clean,0.7539554317548747,0.015292098569020595,0.7988657785934172,0.013184537387546387,0.696069321525868,0.011173167374020465,0.7196160472081565,0.022964873557897142,0.7403464696850659,0.0286202668499017,0.7699115044247787,0.25693875745486106,0.0660332541567696,0.11401821054093227,0.7191501562999828,0.02374263473577651,0.9242545134082121,0.03531695665380968,0.5776347393470026,0.06791941113329622,9.0,0.0,0.0,0.0
pathmnist,SP2OT-FS (adapted),dinov2_vitb14+biomedclip,,,clean,0.8057381615598886,0.04099332275450945,0.8560593250836428,0.024545661099251274,0.7974463065254465,0.03548680097800476,0.7372647213482925,0.0617088226968272,0.7596190131042295,0.0614913862009199,0.6849557522123894,0.40464149505050945,0.0,0.0,0.8528659276790199,0.03786682944078237,0.8668166717070165,0.0560389680553653,0.5591744399266523,0.1340697475423431,9.0,0.0,0.0,0.0
pathmnist,PROTOCOL-FS (adapted),dinov2_vitb14+biomedclip,,,clean,0.8133983286908079,0.028888547022440324,0.8840062138570586,0.01941353781440503,0.8247648279995407,0.02444731695619869,0.7458455323057397,0.04459891375154024,0.7734268495576729,0.0436806254784754,0.7787610619469026,0.2649420830932203,0.00047505938242280285,0.0009501187648456056,0.8641687522213456,0.02768604684961768,0.8649475037563124,0.05822422602934375,0.5911642926953606,0.08802973343199255,9.0,0.0,0.0,0.0
pathmnist,BCPT component: credal marginal only,dinov2_vitb14+biomedclip,,,clean,0.8493593314763231,0.043779812342166616,0.8908592041143493,0.029407980238048324,0.8471176676961678,0.04662369418684199,0.7628037090483957,0.07341327034516427,0.7840175956815614,0.06812085440092197,0.5764011799410029,0.4706308252854839,0.0,0.0,0.9257276681725038,0.03877223812873797,0.9011958967296838,0.04624753543157539,0.5251292221424966,0.156601606664968,9.0,0.0,0.0,0.0
pathmnist,BCPT component: explicit rejection only,dinov2_vitb14+biomedclip,,,clean,0.8282451253481893,0.05480811259304364,0.879861683686932,0.034222823076400885,0.8286213939110715,0.05832915315050979,0.7504180106597298,0.07764192863147823,0.768152294941312,0.07625345101169072,0.5852507374631268,0.47800573645131944,0.0,0.0,0.8970436678016449,0.060657106450115586,0.8813611693994469,0.05325703093614431,0.5260520476228441,0.15747417553395346,9.0,0.0,0.0,0.0
pathmnist,BCPT component: reliability weighting only,dinov2_vitb14+biomedclip,,,clean,0.8282729805013929,0.052328854207836166,0.8850623878172648,0.0332505270097539,0.8330651472530987,0.05312819701938214,0.7509725344104741,0.07818753755253575,0.7686905691259819,0.07556151514342223,0.5929203539823009,0.484214492809061,0.0,0.0,0.90042786774376,0.055009219357684075,0.8751208387572025,0.0557064744722635,0.5305230008769832,0.16104137040158611,9.0,0.0,0.0,0.0
